"2025-04-04 11:26:05am",SYSADMIN,"Closed a drawer"
"2025-04-04 11:26:06am",SYSADMIN,"Closed a drawer"
"2025-04-04 11:26:36am",SYSADMIN,"Opened a drawer"
"2025-04-04 11:26:45am",SYSADMIN,"Created new transaction",REGULAR
"2025-04-04 11:31:46am",SYSADMIN,"Created new transaction",REGULAR
"2025-04-04 11:32:38am",SYSADMIN,"Added item discount to transaction"
"2025-04-04 11:33:52am",SYSADMIN,"Created new transaction",REGULAR
"2025-04-04 11:36:51am",SYSADMIN,"Created new transaction",REGULAR
"2025-04-04 11:38:15am",SYSADMIN,"Added item discount to transaction"
"2025-04-04 11:38:56am",SYSADMIN,"Created new transaction",REGULAR
"2025-04-04 11:39:03am",SYSADMIN,"Created new transaction",REGULAR
"2025-04-04 11:48:18am",SYSADMIN,"Created new transaction",REGULAR
"2025-04-04 11:51:22am",SYSADMIN,"Created new transaction",REGULAR
"2025-04-04 11:51:46am",SYSADMIN,"Created new transaction",REGULAR
"2025-04-04 12:12:20pm",SYSADMIN,"Created new transaction",REGULAR
"2025-04-04 12:12:53pm",SYSADMIN,"Created new transaction",REGULAR
"2025-04-04 12:14:59pm",SYSADMIN,"Created new transaction",REGULAR
"2025-04-04 14:25:54pm",SYSADMIN,"Created new transaction",REGULAR
"2025-04-04 14:28:31pm",SYSADMIN,"Created new transaction",REGULAR
"2025-04-04 14:29:10pm",SYSADMIN,"Created new transaction",REGULAR
"2025-04-04 14:31:27pm",SYSADMIN,"Created new transaction",REGULAR
"2025-04-04 14:34:05pm",SYSADMIN,"Created new transaction",REGULAR
"2025-04-04 14:34:18pm",SYSADMIN,"Created new transaction",REGULAR
"2025-04-04 14:36:08pm",SYSADMIN,"Added item discount to transaction"
"2025-04-04 14:36:40pm",SYSADMIN,"Created new transaction",REGULAR
"2025-04-04 14:39:23pm",SYSADMIN,"Created new transaction",REGULAR
"2025-04-04 14:40:07pm",SYSADMIN,"Added item discount to transaction"
"2025-04-04 14:41:02pm",SYSADMIN,"Added item discount to transaction"
"2025-04-04 14:41:27pm",SYSADMIN,"Added item discount to transaction"
"2025-04-04 14:42:01pm",SYSADMIN,"Added item discount to transaction"
"2025-04-04 14:42:16pm",SYSADMIN,"Added global discount to transaction"
"2025-04-04 14:42:33pm",SYSADMIN,"Completed the tranasction",,18
"2025-04-04 14:42:48pm",SYSADMIN,"Created new transaction",REGULAR
"2025-04-04 14:43:28pm",SYSADMIN,"Added item discount to transaction"
"2025-04-04 14:43:51pm",SYSADMIN,"Added item discount to transaction"
"2025-04-04 14:44:20pm",SYSADMIN,"Added item discount to transaction"
"2025-04-04 14:50:43pm",SYSADMIN,"Created new transaction",REGULAR
"2025-04-04 14:53:05pm",SYSADMIN,"Created new transaction",REGULAR
"2025-04-04 14:53:19pm",SYSADMIN,"Created new transaction",REGULAR
"2025-04-04 17:07:04pm",SYSADMIN,"Created new transaction",REGULAR
"2025-04-04 17:07:55pm",SYSADMIN,"Added global discount to transaction"
"2025-04-04 17:08:22pm",SYSADMIN,"Completed the tranasction",,19
"2025-04-04 17:17:22pm",SYSADMIN,"Created new transaction",REGULAR
